Image_Target	Image_Distractor	Location_Target	Location_Distractor	targetv	distractorv	List	Condition	Blocks	Pair_num	Sound	CS_Onset	Crit_period	Frame_duration	Target_Syl	Distractor_Syl	Target_Freq	Distractor_Freq	Target_RT	Distractor_RT	Status	Status_1	gender_sp_values	cognate	random
doctor.jpg	telescope.jpg	"(588, 816)"	"(1564, 540)"	doctor	telescope	3	CS_HT	9	23	encuentra_el_drawing_of_a_doctor.wav	927	841	1768	2	3	5.22	2.197	1049	1035	exp	r	m	c	0.822679205
hinge.jpg	window.jpg	"(1564, 540)"	"(959, 189)"	hinge	window	3	CS_LT	9	28	encuentra_el_drawing_of_a_hinge.wav	927	841	1768	1	2	1.609	5.303	1388	822	exp	r	f	NA	0.765783695
pumpkin.jpg	leaf.jpg	"(355, 540)"	"(1331, 263)"	pumpkin	leaf	3	CS_LT	9	31	elige_el_drawing_of_a_pumpkin.wav	897	829	1726	2	1	1.099	4.407	909	848	exp	r	f	NA	0.804987723
cowboy.jpg	balloon.jpg	"(1564, 540)"	"(959, 189)"	vaquero	globo	3	S	9	0	elige_el_dibujo_de_un_vaquero.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.674215928
354gun.jpg	worm.jpg	"(588, 263)"	"(1331, 263)"	rifle	gusano	3	S	9	0	elige_el_dibujo_de_un_rifle.wav	880	1074	1954	0	0	0	0	0	0	fill	r	m	NA	0.691187556
rope.jpg	ghost.jpg	"(959, 890)"	"(588, 263)"	cuerda	fantasma	3	S	9	0	elige_el_dibujo_de_una_cuerda.wav	816	1047	1863	0	0	0	0	0	0	fill	r	f	NA	0.737529512
knot.jpg	lion.jpg	"(588, 263)"	"(1564, 540)"	nudo	leon	3	S	9	0	encuentra_el_dibujo_de_un_nudo.wav	940	927	1867	0	0	0	0	0	0	fill	r	m	NA	0.800024842
roof.jpg	dustpan.jpg	"(959, 890)"	"(588, 263)"	techo	recogedor	3	S_HT	9	7	elige_el_dibujo_de_un_techo.wav	880	1074	1954	2	4	4.7	1.724	1325	1066	exp	r	m	NA	0.685908895
cheese.jpg	microphone.jpg	"(1331, 263)"	"(355, 540)"	cheese	microphone	3	CS	10	0	encuentra_el_drawing_of_cheese.wav	927	692	1619	0	0	0	0	0	0	fill	r	m	NA	0.842593029
girl.jpg	cookie.jpg	"(588, 816)"	"(1331, 263)"	girl	cookie	3	CS_HT	10	22	encuentra_el_drawing_of_a_girl.wav	927	841	1768	1	2	6.084	1.609	877	1245	exp	r	f	NA	0.83438197
octopus.jpg	egg.jpg	"(355, 540)"	"(959, 890)"	octopus	egg	3	CS_LT	10	27	elige_el_drawing_of_an_octopus.wav	897	861	1758	3	1	1.099	4.466	841	883	exp	r	m	NA	0.851540212
vacuum.jpg	pillar.jpg	"(959, 189)"	"(355, 540)"	aspiradora	columna	3	S	10	0	encuentra_el_dibujo_de_una_aspiradora.wav	924	970	1894	0	0	0	0	0	0	fill	r	f	NA	0.716655789
