"","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Time","Region"
"227","p02",0.708333333,"CS","LT",38,"1",60,160,0.375,"L",760,"200_pre_200_post_word"
"228","p02",0.708333333,"CS","LT",38,"2",60,160,0.375,"H",760,"200_pre_200_post_word"
"229","p02",0.708333333,"CS","LT",39,"1",60,160,0.375,"L",780,"200_pre_200_post_word"
"230","p02",0.708333333,"CS","LT",39,"2",60,160,0.375,"H",780,"200_pre_200_post_word"
"231","p02",0.708333333,"CS","LT",40,"1",60,160,0.375,"L",800,"200_pre_200_post_word"
"232","p02",0.708333333,"CS","LT",40,"2",60,160,0.375,"H",800,"200_pre_200_post_word"
"233","p02",0.708333333,"CS","LT",41,"1",60,160,0.375,"L",820,"200_pre_200_post_word"
"234","p02",0.708333333,"CS","LT",41,"2",60,160,0.375,"H",820,"200_pre_200_post_word"
"235","p02",0.708333333,"CS","LT",42,"1",50,160,0.3125,"L",840,"200_pre_200_post_word"
"236","p02",0.708333333,"CS","LT",42,"2",32,160,0.2,"H",840,"200_pre_200_post_word"
"237","p02",0.708333333,"CS","LT",43,"1",60,160,0.375,"L",860,"200_pre_200_post_word"
"238","p02",0.708333333,"CS","LT",43,"2",40,160,0.25,"H",860,"200_pre_200_post_word"
"239","p02",0.708333333,"CS","LT",44,"1",60,160,0.375,"L",880,"200_pre_200_post_word"
"240","p02",0.708333333,"CS","LT",44,"2",40,160,0.25,"H",880,"200_pre_200_post_word"
"241","p02",0.708333333,"CS","LT",45,"1",73,160,0.45625,"L",900,"200_pre_200_post_word"
"242","p02",0.708333333,"CS","LT",45,"2",40,160,0.25,"H",900,"200_pre_200_post_word"
"243","p02",0.708333333,"CS","LT",46,"1",80,160,0.5,"L",920,"200_pre_200_post_word"
"244","p02",0.708333333,"CS","LT",46,"2",40,160,0.25,"H",920,"200_pre_200_post_word"
"245","p02",0.708333333,"CS","LT",47,"1",80,160,0.5,"L",940,"200_pre_200_post_word"
"246","p02",0.708333333,"CS","LT",47,"2",38,160,0.2375,"H",940,"200_pre_200_post_word"
"247","p02",0.708333333,"CS","LT",48,"1",90,160,0.5625,"L",960,"200_pre_200_post_word"
"248","p02",0.708333333,"CS","LT",48,"2",3,160,0.01875,"H",960,"200_pre_200_post_word"
"249","p02",0.708333333,"CS","LT",49,"1",100,160,0.625,"L",980,"200_pre_200_post_word"
"250","p02",0.708333333,"CS","LT",50,"1",100,160,0.625,"L",1000,"200_pre_200_post_word"
"251","p02",0.708333333,"S","HT",30,"1",60,160,0.375,"H",600,"200_pre_200_post_word"
"252","p02",0.708333333,"S","HT",30,"2",40,160,0.25,"L",600,"200_pre_200_post_word"
"253","p02",0.708333333,"S","HT",31,"1",60,160,0.375,"H",620,"200_pre_200_post_word"
"254","p02",0.708333333,"S","HT",31,"2",40,160,0.25,"L",620,"200_pre_200_post_word"
"255","p02",0.708333333,"S","HT",32,"1",60,160,0.375,"H",640,"200_pre_200_post_word"
"256","p02",0.708333333,"S","HT",32,"2",40,160,0.25,"L",640,"200_pre_200_post_word"
"257","p02",0.708333333,"S","HT",33,"1",60,160,0.375,"H",660,"200_pre_200_post_word"
"258","p02",0.708333333,"S","HT",33,"2",40,160,0.25,"L",660,"200_pre_200_post_word"
"259","p02",0.708333333,"S","HT",34,"1",60,160,0.375,"H",680,"200_pre_200_post_word"
"260","p02",0.708333333,"S","HT",34,"2",37,160,0.23125,"L",680,"200_pre_200_post_word"
"261","p02",0.708333333,"S","HT",35,"1",60,160,0.375,"H",700,"200_pre_200_post_word"
"262","p02",0.708333333,"S","HT",35,"2",20,160,0.125,"L",700,"200_pre_200_post_word"
"263","p02",0.708333333,"S","HT",36,"1",60,160,0.375,"H",720,"200_pre_200_post_word"
"264","p02",0.708333333,"S","HT",36,"2",20,160,0.125,"L",720,"200_pre_200_post_word"
"265","p02",0.708333333,"S","HT",37,"1",71,160,0.44375,"H",740,"200_pre_200_post_word"
"266","p02",0.708333333,"S","HT",37,"2",20,160,0.125,"L",740,"200_pre_200_post_word"
"267","p02",0.708333333,"S","HT",38,"1",80,160,0.5,"H",760,"200_pre_200_post_word"
"268","p02",0.708333333,"S","HT",38,"2",20,160,0.125,"L",760,"200_pre_200_post_word"
"269","p02",0.708333333,"S","HT",39,"1",80,160,0.5,"H",780,"200_pre_200_post_word"
"270","p02",0.708333333,"S","HT",39,"2",20,160,0.125,"L",780,"200_pre_200_post_word"
"271","p02",0.708333333,"S","HT",40,"1",62,160,0.3875,"H",800,"200_pre_200_post_word"
"272","p02",0.708333333,"S","HT",40,"2",20,160,0.125,"L",800,"200_pre_200_post_word"
"273","p02",0.708333333,"S","HT",41,"1",49,160,0.30625,"H",820,"200_pre_200_post_word"
